日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2025-11-21,15:30:00,515700.SS,2.352,26100,多,2.523,61387.200,-4450.050
2025-11-24,15:30:00,513100.SS,1.856,12500,多,1.992,23200.000,-1695.000
2025-11-24,15:30:00,518880.SS,8.857,600,多,8.780,5314.200,46.140
2025-11-24,15:30:00,515700.SS,2.321,26100,多,2.523,60578.100,-5259.150
2025-11-25,15:30:00,513100.SS,1.897,12500,多,1.992,23712.500,-1182.500
2025-11-25,15:30:00,518880.SS,9.010,600,多,8.780,5406.000,137.940
2025-11-25,15:30:00,515700.SS,2.363,26100,多,2.523,61674.300,-4162.950
2025-11-26,15:30:00,513100.SS,1.927,12500,多,1.992,24087.500,-807.500
2025-11-26,15:30:00,518880.SS,9.011,600,多,8.780,5406.600,138.540
2025-11-26,15:30:00,515700.SS,2.360,26100,多,2.523,61596.000,-4241.250
2025-11-27,15:30:00,513100.SS,1.925,12500,多,1.992,24062.500,-832.500
2025-11-27,15:30:00,518880.SS,9.010,600,多,8.780,5406.000,137.940
2025-11-27,15:30:00,515700.SS,2.359,26100,多,2.523,61569.900,-4267.350
2025-11-28,15:30:00,513100.SS,1.943,12500,多,1.992,24287.500,-607.500
2025-11-28,15:30:00,518880.SS,9.067,600,多,8.780,5440.200,172.140
2025-11-28,15:30:00,515700.SS,2.399,26100,多,2.523,62613.900,-3223.350
2025-12-01,15:30:00,513100.SS,1.936,0,多,0.000,0.000,0.000
2025-12-01,15:30:00,518880.SS,9.161,0,多,0.000,0.000,0.000
2025-12-01,15:30:00,515700.SS,2.417,26100,多,2.523,63083.700,-2753.550
2025-12-01,15:30:00,159985.SZ,1.973,14800,多,2.023,29200.400,-734.080
2025-12-01,15:30:00,515790.SS,0.959,100,多,1.008,95.900,-4.900
2025-12-02,15:30:00,515700.SS,2.377,26100,多,2.523,62039.700,-3797.550
2025-12-02,15:30:00,159985.SZ,1.969,14800,多,2.023,29141.200,-793.280
2025-12-02,15:30:00,515790.SS,0.943,100,多,1.008,94.300,-6.500
2025-12-03,15:30:00,515700.SS,2.334,26100,多,2.523,60917.400,-4919.850
2025-12-03,15:30:00,159985.SZ,1.969,14800,多,2.023,29141.200,-793.280
2025-12-03,15:30:00,515790.SS,0.939,100,多,1.008,93.900,-6.900
2025-12-04,15:30:00,515700.SS,2.361,26100,多,2.523,61622.100,-4215.150
2025-12-04,15:30:00,159985.SZ,1.964,14800,多,2.023,29067.200,-867.280
2025-12-04,15:30:00,515790.SS,0.935,100,多,1.008,93.500,-7.300
2025-12-05,15:30:00,515700.SS,2.373,26100,多,2.523,61935.300,-3901.950
2025-12-05,15:30:00,159985.SZ,1.956,14800,多,2.023,28948.800,-985.680
2025-12-05,15:30:00,515790.SS,0.953,100,多,1.008,95.300,-5.500
2025-12-08,15:30:00,515700.SS,2.426,26100,多,2.523,63318.600,-2518.650
2025-12-08,15:30:00,159985.SZ,1.951,14800,多,2.023,28874.800,-1059.680
2025-12-08,15:30:00,515790.SS,0.966,100,多,1.008,96.600,-4.200
2025-12-09,15:30:00,515700.SS,2.393,26100,多,2.523,62457.300,-3379.950
2025-12-09,15:30:00,159985.SZ,1.942,14800,多,2.023,28741.600,-1192.880
2025-12-09,15:30:00,515790.SS,0.970,100,多,1.008,97.000,-3.800
2025-12-10,15:30:00,515700.SS,2.404,26100,多,2.523,62744.400,-3092.850
2025-12-10,15:30:00,159985.SZ,1.949,14800,多,2.023,28845.200,-1089.280
2025-12-10,15:30:00,515790.SS,0.958,100,多,1.008,95.800,-5.000
2025-12-11,15:30:00,515700.SS,2.389,26100,多,2.523,62352.900,-3484.350
2025-12-11,15:30:00,159985.SZ,1.942,14800,多,2.023,28741.600,-1192.880
2025-12-11,15:30:00,515790.SS,0.947,100,多,1.008,94.700,-6.100
2025-12-12,15:30:00,515700.SS,2.379,26100,多,2.523,62091.900,-3745.350
2025-12-12,15:30:00,159985.SZ,1.955,14800,多,2.023,28934.000,-1000.480
2025-12-12,15:30:00,515790.SS,0.965,100,多,1.008,96.500,-4.300
2025-12-15,15:30:00,515700.SS,2.330,26100,多,2.523,60813.000,-5024.250
2025-12-15,15:30:00,159985.SZ,1.951,14800,多,2.023,28874.800,-1059.680
2025-12-15,15:30:00,515790.SS,0.955,100,多,1.008,95.500,-5.300
2025-12-16,15:30:00,515700.SS,2.290,26100,多,2.523,59769.000,-6068.250
2025-12-16,15:30:00,159985.SZ,1.960,14800,多,2.023,29008.000,-926.480
2025-12-16,15:30:00,515790.SS,0.927,100,多,1.008,92.700,-8.100
2025-12-17,15:30:00,515700.SS,2.366,26100,多,2.523,61752.600,-4084.650
2025-12-17,15:30:00,159985.SZ,1.946,14800,多,2.023,28800.800,-1133.680
2025-12-17,15:30:00,515790.SS,0.946,100,多,1.008,94.600,-6.200
2025-12-18,15:30:00,515700.SS,2.324,26100,多,2.523,60656.400,-5180.850
2025-12-18,15:30:00,159985.SZ,1.942,14800,多,2.023,28741.600,-1192.880
2025-12-18,15:30:00,515790.SS,0.929,100,多,1.008,92.900,-7.900
2025-12-19,15:30:00,515700.SS,2.347,26100,多,2.523,61256.700,-4580.550
2025-12-19,15:30:00,159985.SZ,1.948,14800,多,2.023,28830.400,-1104.080
2025-12-19,15:30:00,515790.SS,0.938,100,多,1.008,93.800,-7.000
2025-12-22,15:30:00,515700.SS,2.385,26100,多,2.523,62248.500,-3588.750
2025-12-22,15:30:00,159985.SZ,1.946,14800,多,2.023,28800.800,-1133.680
2025-12-22,15:30:00,515790.SS,0.946,100,多,1.008,94.600,-6.200
2025-12-23,15:30:00,515700.SS,2.433,26100,多,2.523,63501.300,-2335.950
2025-12-23,15:30:00,159985.SZ,1.950,14800,多,2.023,28860.000,-1074.480
2025-12-23,15:30:00,515790.SS,0.950,100,多,1.008,95.000,-5.800
2025-12-24,15:30:00,515700.SS,2.449,26100,多,2.523,63918.900,-1918.350
2025-12-24,15:30:00,159985.SZ,1.956,14800,多,2.023,28948.800,-985.680
2025-12-24,15:30:00,515790.SS,0.964,100,多,1.008,96.400,-4.400
